Runner on 1st,Runner on 2nd,Runner on 3rd,OUTS,INNIES GO,OUTTIES CUT,INNIES GO LATE,OUTTIES CUT LATE
Y,N,N,0,2,3,2,3
Y,N,N,1,2,3,2,3
Y,N,N,2,1 OR 2,3,1 OR 2,3
Y,Y,N,0,ANY SQUARE BASE,4,ANY SQUARE BASE,4
Y,Y,N,1,ANY SQUARE BASE,4,ANY SQUARE BASE,4
Y,Y,N,2,ANY SQUARE BASE,4,ANY SQUARE BASE,4
Y,Y,Y,0,ANY BASE,4,4,4
Y,Y,Y,1,ANY BASE,4,4,4
Y,Y,Y,2,ANY BASE,4,ANY BASE,4
N,Y,N,0,1,4,1,4
N,Y,N,1,1,4,1,4
N,Y,N,2,1,4,1,4
N,Y,Y,0,1,4,4,4
N,Y,Y,1,1,4,4,4
N,Y,Y,2,1,4,1,4
N,N,Y,0,1,2,4,2
N,N,Y,1,1,2,4,2
N,N,Y,2,1,2,1,2
Y,N,Y,0,2,3,4,3
Y,N,Y,1,2,3,4,3
Y,N,Y,2,1 OR 2,3,1 OR 2,3
N,N,N,0,1,2,1,2
N,N,N,1,1,2,1,2
N,N,N,2,1,2,1,2
